Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
between 0 to 200 DM,45,critical account/other credits existing (not at this bank),radio/television,4746,less than 100 DM,less than 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,none,yes,Bad
no checking account,48,critical account/other credits existing (not at this bank),education,6110,less than 100 DM,between 1 to 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,less than 100 DM,between 1 to 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,9,existing credits paid back duly till now,radio/television,458,less than 100 DM,between 1 to 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,30,existing credits paid back duly till now,radio/television,2333,between 500 to 1000 DM,more than 7 years,4,male : single,none,2,"car or other, not in attribute 6",30,bank,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,1158,between 500 to 1000 DM,between 1 to 4 years,3,male : divorced/separated,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,18,delay in paying off in the past,repairs,6204,less than 100 DM,between 1 to 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,Good
less than 0 DM,30,critical account/other credits existing (not at this bank),car (used),6187,between 100 to 500 DM,between 4 to 7 years,1,male : married/widowed,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes,Good
less than 0 DM,48,critical account/other credits existing (not at this bank),car (used),6143,less than 100 DM,more than 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes,Bad
no checking account,11,critical account/other credits existing (not at this bank),car (new),1393,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",35,none,own,2,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
no checking account,36,existing credits paid back duly till now,radio/television,2299,between 500 to 1000 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,6,existing credits paid back duly till now,car (used),1352,between 500 to 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,Good
no checking account,11,critical account/other credits existing (not at this bank),car (new),7228,less than 100 DM,between 1 to 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,2073,between 100 to 500 DM,between 1 to 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,less than 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,27,delay in paying off in the past,car (used),5965,less than 100 DM,more than 7 years,1,male : single,none,2,"car or other, not in attribute 6",30,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,1262,less than 100 DM,between 1 to 4 years,3,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,between 1 to 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,delay in paying off in the past,car (new),2225,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,between 1 to 4 years,1,male : single,gaurantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,male : single,none,1,unknown / no property,52,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,36,critical account/other credits existing (not at this bank),radio/television,9566,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,less than 100 DM,more than 7 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
less than 0 DM,36,critical account/other credits existing (not at this bank),furniture/equipment,6229,less than 100 DM,less than 1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,9,existing credits paid back duly till now,business,1391,less than 100 DM,between 1 to 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,15,critical account/other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,more than 7 years,4,male : single,gaurantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,no credits taken/ all credits paid back duly,business,1953,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,48,no credits taken/ all credits paid back duly,business,14421,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,24,existing credits paid back duly till now,radio/television,3181,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,2171,less than 100 DM,less than 1 year,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,car (new),1007,more than 1000 DM,between 1 to 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,36,existing credits paid back duly till now,education,1819,less than 100 DM,between 1 to 4 years,4,male : single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,between 1 to 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,36,existing credits paid back duly till now,car (used),8133,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee / official,1,none,yes,Good
no checking account,7,critical account/other credits existing (not at this bank),radio/television,730,unknown/ no savings account,more than 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,Good
less than 0 DM,8,critical account/other credits existing (not at this bank),car (used),1164,less than 100 DM,more than 7 years,3,male : single,none,4,unknown / no property,51,bank,for free,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,42,critical account/other credits existing (not at this bank),business,5954,less than 100 DM,between 4 to 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,Good
less than 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,more than 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,12,critical account/other credits existing (not at this bank),car (used),1526,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,66,none,for free,2,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
less than 0 DM,42,existing credits paid back duly till now,radio/television,3965,less than 100 DM,less than 1 year,4,male : single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,11,delay in paying off in the past,radio/television,4771,less than 100 DM,between 4 to 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,between 1 to 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,Good
between 0 to 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,less than 100 DM,less than 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,less than 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,15,existing credits paid back duly till now,radio/television,1213,between 500 to 1000 DM,more than 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,18,existing credits paid back duly till now,business,1568,between 100 to 500 DM,between 1 to 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,yes,Good
less than 0 DM,24,existing credits paid back duly till now,car (used),1755,less than 100 DM,more than 7 years,4,female : divorced/separated/married,gaurantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
less than 0 DM,10,existing credits paid back duly till now,radio/television,2315,less than 100 DM,more than 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,Good
no checking account,12,critical account/other credits existing (not at this bank),business,1412,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,gaurantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,1295,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,education,12612,between 100 to 500 DM,between 1 to 4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,Bad
less than 0 DM,18,existing credits paid back duly till now,car (new),2249,between 100 to 500 DM,between 4 to 7 years,4,male : single,none,3,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Good
less than 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,less than 100 DM,between 4 to 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,Bad
no checking account,12,critical account/other credits existing (not at this bank),radio/television,618,less than 100 DM,more than 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,12,critical account/other credits existing (not at this bank),car (used),1409,less than 100 DM,more than 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,12,critical account/other credits existing (not at this bank),radio/television,797,unknown/ no savings account,more than 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,24,critical account/other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,more than 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,car (new),1318,more than 1000 DM,more than 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,54,no credits taken/ all credits paid back duly,business,15945,less than 100 DM,less than 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,12,critical account/other credits existing (not at this bank),education,2012,unknown/ no savings account,between 4 to 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,business,2622,between 100 to 500 DM,between 1 to 4 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,36,critical account/other credits existing (not at this bank),radio/television,2337,less than 100 DM,more than 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,between 4 to 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Good
no checking account,24,existing credits paid back duly till now,car (new),1469,between 100 to 500 DM,more than 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,radio/television,2323,less than 100 DM,between 4 to 7 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,Good
no checking account,6,delay in paying off in the past,radio/television,932,less than 100 DM,between 1 to 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,9,critical account/other credits existing (not at this bank),furniture/equipment,1919,less than 100 DM,between 4 to 7 years,4,male : single,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,less than 1 year,2,male : married/widowed,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,24,critical account/other credits existing (not at this bank),car (used),11938,less than 100 DM,between 1 to 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Bad
no checking account,18,all credits at this bank paid back duly,car (new),6458,less than 100 DM,more than 7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,12,existing credits paid back duly till now,car (new),6078,less than 100 DM,between 4 to 7 years,2,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,less than 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,Good
between 0 to 200 DM,14,existing credits paid back duly till now,business,1410,between 500 to 1000 DM,more than 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,6,delay in paying off in the past,business,1449,between 100 to 500 DM,more than 7 years,1,male : divorced/separated,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,car (new),6260,less than 100 DM,between 4 to 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,Good
no checking account,36,critical account/other credits existing (not at this bank),car (new),7855,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,12,existing credits paid back duly till now,radio/television,1680,between 500 to 1000 DM,more than 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,48,critical account/other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,more than 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,between 4 to 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,10,critical account/other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,less than 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,Good
less than 0 DM,33,critical account/other credits existing (not at this bank),furniture/equipment,4281,between 500 to 1000 DM,between 1 to 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,12,critical account/other credits existing (not at this bank),car (new),2366,between 500 to 1000 DM,between 4 to 7 years,3,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,21,existing credits paid back duly till now,radio/television,1835,less than 100 DM,between 1 to 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),car (used),3868,less than 100 DM,more than 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,less than 100 DM,between 1 to 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,10,critical account/other credits existing (not at this bank),car (new),781,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,less than 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,12,critical account/other credits existing (not at this bank),car (new),2121,less than 100 DM,between 1 to 4 years,4,male : single,none,2,building society savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,radio/television,701,less than 100 DM,between 1 to 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,repairs,639,less than 100 DM,between 1 to 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,12,critical account/other credits existing (not at this bank),car (used),1860,less than 100 DM,unemployed,4,male : single,none,2,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,critical account/other credits existing (not at this bank),car (new),3499,less than 100 DM,between 1 to 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,between 4 to 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,Good
